s,bin,real,imag
0,0000000,-127.0,0.0
1,0000001,-125.0,0.0
2,0000010,-123.0,0.0
3,0000011,-121.0,0.0
4,0000100,-119.0,0.0
5,0000101,-117.0,0.0
6,0000110,-115.0,0.0
7,0000111,-113.0,0.0
8,0001000,-111.0,0.0
9,0001001,-109.0,0.0
10,0001010,-107.0,0.0
11,0001011,-105.0,0.0
12,0001100,-103.0,0.0
13,0001101,-101.0,0.0
14,0001110,-99.0,0.0
15,0001111,-97.0,0.0
16,0010000,-95.0,0.0
17,0010001,-93.0,0.0
18,0010010,-91.0,0.0
19,0010011,-89.0,0.0
20,0010100,-87.0,0.0
21,0010101,-85.0,0.0
22,0010110,-83.0,0.0
23,0010111,-81.0,0.0
24,0011000,-79.0,0.0
25,0011001,-77.0,0.0
26,0011010,-75.0,0.0
27,0011011,-73.0,0.0
28,0011100,-71.0,0.0
29,0011101,-69.0,0.0
30,0011110,-67.0,0.0
31,0011111,-65.0,0.0
32,0100000,-63.0,0.0
33,0100001,-61.0,0.0
34,0100010,-59.0,0.0
35,0100011,-57.0,0.0
36,0100100,-55.0,0.0
37,0100101,-53.0,0.0
38,0100110,-51.0,0.0
39,0100111,-49.0,0.0
40,0101000,-47.0,0.0
41,0101001,-45.0,0.0
42,0101010,-43.0,0.0
43,0101011,-41.0,0.0
44,0101100,-39.0,0.0
45,0101101,-37.0,0.0
46,0101110,-35.0,0.0
47,0101111,-33.0,0.0
48,0110000,-31.0,0.0
49,0110001,-29.0,0.0
50,0110010,-27.0,0.0
51,0110011,-25.0,0.0
52,0110100,-23.0,0.0
53,0110101,-21.0,0.0
54,0110110,-19.0,0.0
55,0110111,-17.0,0.0
56,0111000,-15.0,0.0
57,0111001,-13.0,0.0
58,0111010,-11.0,0.0
59,0111011,-9.0,0.0
60,0111100,-7.0,0.0
61,0111101,-5.0,0.0
62,0111110,-3.0,0.0
63,0111111,-1.0,0.0
64,1000000,1.0,0.0
65,1000001,3.0,0.0
66,1000010,5.0,0.0
67,1000011,7.0,0.0
68,1000100,9.0,0.0
69,1000101,11.0,0.0
70,1000110,13.0,0.0
71,1000111,15.0,0.0
72,1001000,17.0,0.0
73,1001001,19.0,0.0
74,1001010,21.0,0.0
75,1001011,23.0,0.0
76,1001100,25.0,0.0
77,1001101,27.0,0.0
78,1001110,29.0,0.0
79,1001111,31.0,0.0
80,1010000,33.0,0.0
81,1010001,35.0,0.0
82,1010010,37.0,0.0
83,1010011,39.0,0.0
84,1010100,41.0,0.0
85,1010101,43.0,0.0
86,1010110,45.0,0.0
87,1010111,47.0,0.0
88,1011000,49.0,0.0
89,1011001,51.0,0.0
90,1011010,53.0,0.0
91,1011011,55.0,0.0
92,1011100,57.0,0.0
93,1011101,59.0,0.0
94,1011110,61.0,0.0
95,1011111,63.0,0.0
96,1100000,65.0,0.0
97,1100001,67.0,0.0
98,1100010,69.0,0.0
99,1100011,71.0,0.0
100,1100100,73.0,0.0
101,1100101,75.0,0.0
102,1100110,77.0,0.0
103,1100111,79.0,0.0
104,1101000,81.0,0.0
105,1101001,83.0,0.0
106,1101010,85.0,0.0
107,1101011,87.0,0.0
108,1101100,89.0,0.0
109,1101101,91.0,0.0
110,1101110,93.0,0.0
111,1101111,95.0,0.0
112,1110000,97.0,0.0
113,1110001,99.0,0.0
114,1110010,101.0,0.0
115,1110011,103.0,0.0
116,1110100,105.0,0.0
117,1110101,107.0,0.0
118,1110110,109.0,0.0
119,1110111,111.0,0.0
120,1111000,113.0,0.0
121,1111001,115.0,0.0
122,1111010,117.0,0.0
123,1111011,119.0,0.0
124,1111100,121.0,0.0
125,1111101,123.0,0.0
126,1111110,125.0,0.0
127,1111111,127.0,0.0
