s,real,imag
0,-63.0,0.0
1,-61.0,0.0
2,-57.0,0.0
3,-59.0,0.0
4,-49.0,0.0
5,-51.0,0.0
6,-55.0,0.0
7,-53.0,0.0
8,-33.0,0.0
9,-35.0,0.0
10,-39.0,0.0
11,-37.0,0.0
12,-47.0,0.0
13,-45.0,0.0
14,-41.0,0.0
15,-43.0,0.0
16,-1.0,0.0
17,-3.0,0.0
18,-7.0,0.0
19,-5.0,0.0
20,-15.0,0.0
21,-13.0,0.0
22,-9.0,0.0
23,-11.0,0.0
24,-31.0,0.0
25,-29.0,0.0
26,-25.0,0.0
27,-27.0,0.0
28,-17.0,0.0
29,-19.0,0.0
30,-23.0,0.0
31,-21.0,0.0
32,63.0,0.0
33,61.0,0.0
34,57.0,0.0
35,59.0,0.0
36,49.0,0.0
37,51.0,0.0
38,55.0,0.0
39,53.0,0.0
40,33.0,0.0
41,35.0,0.0
42,39.0,0.0
43,37.0,0.0
44,47.0,0.0
45,45.0,0.0
46,41.0,0.0
47,43.0,0.0
48,1.0,0.0
49,3.0,0.0
50,7.0,0.0
51,5.0,0.0
52,15.0,0.0
53,13.0,0.0
54,9.0,0.0
55,11.0,0.0
56,31.0,0.0
57,29.0,0.0
58,25.0,0.0
59,27.0,0.0
60,17.0,0.0
61,19.0,0.0
62,23.0,0.0
63,21.0,0.0
