s,bin,real,imag
0,0000000,1.0,0.0
1,0000001,0.998795,0.049068
2,0000010,0.995185,0.098017
3,0000011,0.989177,0.14673
4,0000100,0.980785,0.19509
5,0000101,0.970031,0.24298
6,0000110,0.95694,0.290285
7,0000111,0.941544,0.33689
8,0001000,0.92388,0.382683
9,0001001,0.903989,0.427555
10,0001010,0.881921,0.471397
11,0001011,0.857729,0.514103
12,0001100,0.83147,0.55557
13,0001101,0.803208,0.595699
14,0001110,0.77301,0.634393
15,0001111,0.740951,0.671559
16,0010000,0.707107,0.707107
17,0010001,0.671559,0.740951
18,0010010,0.634393,0.77301
19,0010011,0.595699,0.803208
20,0010100,0.55557,0.83147
21,0010101,0.514103,0.857729
22,0010110,0.471397,0.881921
23,0010111,0.427555,0.903989
24,0011000,0.382683,0.92388
25,0011001,0.33689,0.941544
26,0011010,0.290285,0.95694
27,0011011,0.24298,0.970031
28,0011100,0.19509,0.980785
29,0011101,0.14673,0.989177
30,0011110,0.098017,0.995185
31,0011111,0.049068,0.998795
32,0100000,0.0,1.0
33,0100001,-0.049068,0.998795
34,0100010,-0.098017,0.995185
35,0100011,-0.14673,0.989177
36,0100100,-0.19509,0.980785
37,0100101,-0.24298,0.970031
38,0100110,-0.290285,0.95694
39,0100111,-0.33689,0.941544
40,0101000,-0.382683,0.92388
41,0101001,-0.427555,0.903989
42,0101010,-0.471397,0.881921
43,0101011,-0.514103,0.857729
44,0101100,-0.55557,0.83147
45,0101101,-0.595699,0.803208
46,0101110,-0.634393,0.77301
47,0101111,-0.671559,0.740951
48,0110000,-0.707107,0.707107
49,0110001,-0.740951,0.671559
50,0110010,-0.77301,0.634393
51,0110011,-0.803208,0.595699
52,0110100,-0.83147,0.55557
53,0110101,-0.857729,0.514103
54,0110110,-0.881921,0.471397
55,0110111,-0.903989,0.427555
56,0111000,-0.92388,0.382683
57,0111001,-0.941544,0.33689
58,0111010,-0.95694,0.290285
59,0111011,-0.970031,0.24298
60,0111100,-0.980785,0.19509
61,0111101,-0.989177,0.14673
62,0111110,-0.995185,0.098017
63,0111111,-0.998795,0.049068
64,1000000,-1.0,0.0
65,1000001,-0.998795,-0.049068
66,1000010,-0.995185,-0.098017
67,1000011,-0.989177,-0.14673
68,1000100,-0.980785,-0.19509
69,1000101,-0.970031,-0.24298
70,1000110,-0.95694,-0.290285
71,1000111,-0.941544,-0.33689
72,1001000,-0.92388,-0.382683
73,1001001,-0.903989,-0.427555
74,1001010,-0.881921,-0.471397
75,1001011,-0.857729,-0.514103
76,1001100,-0.83147,-0.55557
77,1001101,-0.803208,-0.595699
78,1001110,-0.77301,-0.634393
79,1001111,-0.740951,-0.671559
80,1010000,-0.707107,-0.707107
81,1010001,-0.671559,-0.740951
82,1010010,-0.634393,-0.77301
83,1010011,-0.595699,-0.803208
84,1010100,-0.55557,-0.83147
85,1010101,-0.514103,-0.857729
86,1010110,-0.471397,-0.881921
87,1010111,-0.427555,-0.903989
88,1011000,-0.382683,-0.92388
89,1011001,-0.33689,-0.941544
90,1011010,-0.290285,-0.95694
91,1011011,-0.24298,-0.970031
92,1011100,-0.19509,-0.980785
93,1011101,-0.14673,-0.989177
94,1011110,-0.098017,-0.995185
95,1011111,-0.049068,-0.998795
96,1100000,-0.0,-1.0
97,1100001,0.049068,-0.998795
98,1100010,0.098017,-0.995185
99,1100011,0.14673,-0.989177
100,1100100,0.19509,-0.980785
101,1100101,0.24298,-0.970031
102,1100110,0.290285,-0.95694
103,1100111,0.33689,-0.941544
104,1101000,0.382683,-0.92388
105,1101001,0.427555,-0.903989
106,1101010,0.471397,-0.881921
107,1101011,0.514103,-0.857729
108,1101100,0.55557,-0.83147
109,1101101,0.595699,-0.803208
110,1101110,0.634393,-0.77301
111,1101111,0.671559,-0.740951
112,1110000,0.707107,-0.707107
113,1110001,0.740951,-0.671559
114,1110010,0.77301,-0.634393
115,1110011,0.803208,-0.595699
116,1110100,0.83147,-0.55557
117,1110101,0.857729,-0.514103
118,1110110,0.881921,-0.471397
119,1110111,0.903989,-0.427555
120,1111000,0.92388,-0.382683
121,1111001,0.941544,-0.33689
122,1111010,0.95694,-0.290285
123,1111011,0.970031,-0.24298
124,1111100,0.980785,-0.19509
125,1111101,0.989177,-0.14673
126,1111110,0.995185,-0.098017
127,1111111,0.998795,-0.049068
