s,real,imag
0,1.0,0.0
1,0.980785,0.19509
2,0.83147,0.55557
3,0.92388,0.382683
4,0.19509,0.980785
5,0.382683,0.92388
6,0.707107,0.707107
7,0.55557,0.83147
8,-0.980785,0.19509
9,-0.92388,0.382683
10,-0.707107,0.707107
11,-0.83147,0.55557
12,0.0,1.0
13,-0.19509,0.980785
14,-0.55557,0.83147
15,-0.382683,0.92388
16,0.980785,-0.19509
17,0.92388,-0.382683
18,0.707107,-0.707107
19,0.83147,-0.55557
20,-0.0,-1.0
21,0.19509,-0.980785
22,0.55557,-0.83147
23,0.382683,-0.92388
24,-1.0,0.0
25,-0.980785,-0.19509
26,-0.83147,-0.55557
27,-0.92388,-0.382683
28,-0.19509,-0.980785
29,-0.382683,-0.92388
30,-0.707107,-0.707107
31,-0.55557,-0.83147
