s,bin,real,imag
0,00000000,-15.0,15.0
1,00000001,-15.0,13.0
2,00000010,-15.0,11.0
3,00000011,-15.0,9.0
4,00000100,-15.0,7.0
5,00000101,-15.0,5.0
6,00000110,-15.0,3.0
7,00000111,-15.0,1.0
8,00001000,-15.0,-1.0
9,00001001,-15.0,-3.0
10,00001010,-15.0,-5.0
11,00001011,-15.0,-7.0
12,00001100,-15.0,-9.0
13,00001101,-15.0,-11.0
14,00001110,-15.0,-13.0
15,00001111,-15.0,-15.0
16,00010000,-13.0,15.0
17,00010001,-13.0,13.0
18,00010010,-13.0,11.0
19,00010011,-13.0,9.0
20,00010100,-13.0,7.0
21,00010101,-13.0,5.0
22,00010110,-13.0,3.0
23,00010111,-13.0,1.0
24,00011000,-13.0,-1.0
25,00011001,-13.0,-3.0
26,00011010,-13.0,-5.0
27,00011011,-13.0,-7.0
28,00011100,-13.0,-9.0
29,00011101,-13.0,-11.0
30,00011110,-13.0,-13.0
31,00011111,-13.0,-15.0
32,00100000,-11.0,15.0
33,00100001,-11.0,13.0
34,00100010,-11.0,11.0
35,00100011,-11.0,9.0
36,00100100,-11.0,7.0
37,00100101,-11.0,5.0
38,00100110,-11.0,3.0
39,00100111,-11.0,1.0
40,00101000,-11.0,-1.0
41,00101001,-11.0,-3.0
42,00101010,-11.0,-5.0
43,00101011,-11.0,-7.0
44,00101100,-11.0,-9.0
45,00101101,-11.0,-11.0
46,00101110,-11.0,-13.0
47,00101111,-11.0,-15.0
48,00110000,-9.0,15.0
49,00110001,-9.0,13.0
50,00110010,-9.0,11.0
51,00110011,-9.0,9.0
52,00110100,-9.0,7.0
53,00110101,-9.0,5.0
54,00110110,-9.0,3.0
55,00110111,-9.0,1.0
56,00111000,-9.0,-1.0
57,00111001,-9.0,-3.0
58,00111010,-9.0,-5.0
59,00111011,-9.0,-7.0
60,00111100,-9.0,-9.0
61,00111101,-9.0,-11.0
62,00111110,-9.0,-13.0
63,00111111,-9.0,-15.0
64,01000000,-7.0,15.0
65,01000001,-7.0,13.0
66,01000010,-7.0,11.0
67,01000011,-7.0,9.0
68,01000100,-7.0,7.0
69,01000101,-7.0,5.0
70,01000110,-7.0,3.0
71,01000111,-7.0,1.0
72,01001000,-7.0,-1.0
73,01001001,-7.0,-3.0
74,01001010,-7.0,-5.0
75,01001011,-7.0,-7.0
76,01001100,-7.0,-9.0
77,01001101,-7.0,-11.0
78,01001110,-7.0,-13.0
79,01001111,-7.0,-15.0
80,01010000,-5.0,15.0
81,01010001,-5.0,13.0
82,01010010,-5.0,11.0
83,01010011,-5.0,9.0
84,01010100,-5.0,7.0
85,01010101,-5.0,5.0
86,01010110,-5.0,3.0
87,01010111,-5.0,1.0
88,01011000,-5.0,-1.0
89,01011001,-5.0,-3.0
90,01011010,-5.0,-5.0
91,01011011,-5.0,-7.0
92,01011100,-5.0,-9.0
93,01011101,-5.0,-11.0
94,01011110,-5.0,-13.0
95,01011111,-5.0,-15.0
96,01100000,-3.0,15.0
97,01100001,-3.0,13.0
98,01100010,-3.0,11.0
99,01100011,-3.0,9.0
100,01100100,-3.0,7.0
101,01100101,-3.0,5.0
102,01100110,-3.0,3.0
103,01100111,-3.0,1.0
104,01101000,-3.0,-1.0
105,01101001,-3.0,-3.0
106,01101010,-3.0,-5.0
107,01101011,-3.0,-7.0
108,01101100,-3.0,-9.0
109,01101101,-3.0,-11.0
110,01101110,-3.0,-13.0
111,01101111,-3.0,-15.0
112,01110000,-1.0,15.0
113,01110001,-1.0,13.0
114,01110010,-1.0,11.0
115,01110011,-1.0,9.0
116,01110100,-1.0,7.0
117,01110101,-1.0,5.0
118,01110110,-1.0,3.0
119,01110111,-1.0,1.0
120,01111000,-1.0,-1.0
121,01111001,-1.0,-3.0
122,01111010,-1.0,-5.0
123,01111011,-1.0,-7.0
124,01111100,-1.0,-9.0
125,01111101,-1.0,-11.0
126,01111110,-1.0,-13.0
127,01111111,-1.0,-15.0
128,10000000,1.0,15.0
129,10000001,1.0,13.0
130,10000010,1.0,11.0
131,10000011,1.0,9.0
132,10000100,1.0,7.0
133,10000101,1.0,5.0
134,10000110,1.0,3.0
135,10000111,1.0,1.0
136,10001000,1.0,-1.0
137,10001001,1.0,-3.0
138,10001010,1.0,-5.0
139,10001011,1.0,-7.0
140,10001100,1.0,-9.0
141,10001101,1.0,-11.0
142,10001110,1.0,-13.0
143,10001111,1.0,-15.0
144,10010000,3.0,15.0
145,10010001,3.0,13.0
146,10010010,3.0,11.0
147,10010011,3.0,9.0
148,10010100,3.0,7.0
149,10010101,3.0,5.0
150,10010110,3.0,3.0
151,10010111,3.0,1.0
152,10011000,3.0,-1.0
153,10011001,3.0,-3.0
154,10011010,3.0,-5.0
155,10011011,3.0,-7.0
156,10011100,3.0,-9.0
157,10011101,3.0,-11.0
158,10011110,3.0,-13.0
159,10011111,3.0,-15.0
160,10100000,5.0,15.0
161,10100001,5.0,13.0
162,10100010,5.0,11.0
163,10100011,5.0,9.0
164,10100100,5.0,7.0
165,10100101,5.0,5.0
166,10100110,5.0,3.0
167,10100111,5.0,1.0
168,10101000,5.0,-1.0
169,10101001,5.0,-3.0
170,10101010,5.0,-5.0
171,10101011,5.0,-7.0
172,10101100,5.0,-9.0
173,10101101,5.0,-11.0
174,10101110,5.0,-13.0
175,10101111,5.0,-15.0
176,10110000,7.0,15.0
177,10110001,7.0,13.0
178,10110010,7.0,11.0
179,10110011,7.0,9.0
180,10110100,7.0,7.0
181,10110101,7.0,5.0
182,10110110,7.0,3.0
183,10110111,7.0,1.0
184,10111000,7.0,-1.0
185,10111001,7.0,-3.0
