s,real,imag
0,-7.0,7.0
1,-7.0,5.0
2,-7.0,1.0
3,-7.0,3.0
4,-7.0,-7.0
5,-7.0,-5.0
6,-7.0,-1.0
7,-7.0,-3.0
8,-5.0,7.0
9,-5.0,5.0
10,-5.0,1.0
11,-5.0,3.0
12,-5.0,-7.0
13,-5.0,-5.0
14,-5.0,-1.0
15,-5.0,-3.0
16,-1.0,7.0
17,-1.0,5.0
18,-1.0,1.0
19,-1.0,3.0
20,-1.0,-7.0
21,-1.0,-5.0
22,-1.0,-1.0
23,-1.0,-3.0
24,-3.0,7.0
25,-3.0,5.0
26,-3.0,1.0
27,-3.0,3.0
28,-3.0,-7.0
29,-3.0,-5.0
30,-3.0,-1.0
31,-3.0,-3.0
32,7.0,7.0
33,7.0,5.0
34,7.0,1.0
35,7.0,3.0
36,7.0,-7.0
37,7.0,-5.0
38,7.0,-1.0
39,7.0,-3.0
40,5.0,7.0
41,5.0,5.0
42,5.0,1.0
43,5.0,3.0
44,5.0,-7.0
45,5.0,-5.0
46,5.0,-1.0
47,5.0,-3.0
48,1.0,7.0
49,1.0,5.0
50,1.0,1.0
51,1.0,3.0
52,1.0,-7.0
53,1.0,-5.0
54,1.0,-1.0
55,1.0,-3.0
56,3.0,7.0
57,3.0,5.0
58,3.0,1.0
59,3.0,3.0
60,3.0,-7.0
61,3.0,-5.0
62,3.0,-1.0
63,3.0,-3.0
